No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,pm25_24h,aqi_class,hour_sin,hour_cos,dayofweek,is_weekend,PM10_lag1,SO2_lag1,NO2_lag1,CO_lag1,O3_lag1,TEMP_lag1,PRES_lag1,DEWP_lag1,RAIN_lag1,WSPM_lag1,PM10_lag3,SO2_lag3,NO2_lag3,CO_lag3,O3_lag3,TEMP_lag3,PRES_lag3,DEWP_lag3,RAIN_lag3,WSPM_lag3,PM10_lag24,SO2_lag24,NO2_lag24,CO_lag24,O3_lag24,TEMP_lag24,PRES_lag24,DEWP_lag24,RAIN_lag24,WSPM_lag24,is_labeled,date,pm25_lag_1,pm25_lag_2,y_pred,aqi_label,is_alert
502,2013,3,21,21,150.0,165.0,13.0,53.0,1500.0,31.0,3.7,1001.6,-1.7,0.0,3,2.5,Huairou,2013-03-21 21:00:00,117.54166666666667,2,-0.7071067811865477,0.7071067811865474,3,0,180.0,16.0,78.0,1399.0,32.0,3.3,1000.4,-1.5,0.0,1.2,176.0,32.0,84.0,1399.0,52.0,4.2,998.5,-1.0,0.0,1.5,86.0,6.0,67.0,1000.0,18.0,-0.7,1010.6,-2.4,0.0,1.0,False,2013-03-21,178.0,183.0,2,Unhealthy,True
485,2013,3,21,4,95.0,104.0,10.0,51.0,1100.0,18.0,0.9,1005.4,-3.6,0.0,2,0.9,Changping,2013-03-21 04:00:00,48.375,2,0.8660254037844386,0.5000000000000001,3,0,108.0,8.0,61.0,1200.0,12.0,1.2,1005.7,-3.3,0.0,1.3,105.0,6.0,58.0,1100.0,14.0,1.0,1007.6,-3.1,0.0,1.2,6.0,3.0,4.0,300.0,77.0,-2.9,1016.1,-3.7,0.7,0.0,False,2013-03-21,93.0,94.0,2,Unhealthy,True
487,2013,3,21,6,90.0,94.0,5.0,58.0,1399.0,4.0,-1.4,1004.4,-3.1,0.0,13,0.9,Huairou,2013-03-21 06:00:00,59.208333333333336,2,1.0,6.123233995736766e-17,3,0,86.0,6.0,55.0,1200.0,9.0,-1.0,1004.9,-4.5,0.0,1.5,91.0,4.0,63.0,,,0.3,1006.2,-4.0,0.0,0.6,6.0,3.0,16.0,500.0,53.0,-4.8,1016.4,-4.8,0.0,0.2,False,2013-03-21,82.0,102.0,2,Unhealthy,True
482,2013,3,21,1,90.0,70.0,3.0,32.0,800.0,26.0,1.0,1007.6,-3.1,0.0,0,1.2,Dingling,2013-03-21 01:00:00,36.875,2,0.25881904510252074,0.9659258262890683,3,0,68.0,3.0,31.0,800.0,30.0,0.8,1008.1,-3.0,0.0,1.0,55.0,3.0,27.0,700.0,33.0,0.5,1009.6,-2.7,0.0,0.6,37.0,3.0,18.0,600.0,52.0,-1.0,1015.3,-1.7,5.7,2.5,False,2013-03-21,88.0,82.0,2,Unhealthy,True
493,2013,3,21,12,88.0,145.0,37.0,89.0,1600.0,22.0,6.6,1003.7,-2.6,0.0,7,2.3,Nongzhanguan,2013-03-21 12:00:00,67.25,2,1.2246467991473532e-16,-1.0,3,0,119.0,41.0,74.0,1399.0,20.0,5.4,1004.9,-2.9,0.0,1.8,99.0,28.0,68.0,1300.0,9.0,3.6,1007.0,-3.5,0.0,0.8,75.0,23.0,37.0,1100.0,55.0,3.8,1020.7,-7.1,0.0,0.4,False,2013-03-21,3.0,108.0,2,Unhealthy,True
492,2013,3,21,11,131.0,143.0,47.0,59.0,1300.0,26.0,5.4,1004.9,-2.9,0.0,7,1.8,Tiantan,2013-03-21 11:00:00,79.75,2,0.258819045102521,-0.9659258262890682,3,0,133.0,38.0,54.0,1300.0,22.0,4.9,1005.9,-3.4,0.0,1.3,97.0,5.0,44.0,1100.0,6.0,2.5,1007.8,-4.3,0.0,0.6,90.0,17.0,35.0,1399.0,47.0,3.0,1021.6,-3.8,0.0,2.5,False,2013-03-21,123.0,76.0,2,Unhealthy,True
493,2013,3,21,12,143.0,153.0,37.0,80.0,1700.0,20.0,6.6,1003.7,-2.6,0.0,7,2.3,Tiantan,2013-03-21 12:00:00,82.45833333333333,2,1.2246467991473532e-16,-1.0,3,0,143.0,47.0,59.0,1300.0,26.0,5.4,1004.9,-2.9,0.0,1.8,81.0,25.0,57.0,1300.0,12.0,3.6,1007.0,-3.5,0.0,0.8,62.0,18.0,30.0,1200.0,56.0,3.8,1020.7,-7.1,0.0,0.4,False,2013-03-21,131.0,123.0,2,Unhealthy,True
504,2013,3,21,23,148.0,117.0,4.0,40.0,1200.0,32.0,2.9,1003.7,-0.4,0.0,1,0.6,Dingling,2013-03-21 23:00:00,132.625,2,-0.25881904510252157,0.9659258262890681,3,0,117.0,4.0,47.0,1200.0,28.0,3.1,1002.9,-0.4,0.0,2.2,151.0,8.0,48.0,1300.0,52.0,3.7,1000.7,-0.3,0.0,0.2,61.0,3.0,30.0,800.0,31.0,0.4,1008.7,-2.8,0.0,0.6,False,2013-03-21,156.0,169.0,2,Unhealthy,True
485,2013,3,21,4,79.0,62.0,12.0,39.0,700.0,31.0,0.1,1010.4,-4.0,0.0,2,1.0,Nongzhanguan,2013-03-21 04:00:00,57.0,2,0.8660254037844386,0.5000000000000001,3,0,60.0,16.0,46.0,700.0,28.0,0.8,1011.1,-4.2,0.0,1.1,80.0,26.0,40.0,800.0,44.0,2.0,1013.1,-4.3,0.0,2.3,26.0,6.0,37.0,1000.0,18.0,-2.2,1021.1,-2.6,1.0,1.2,False,2013-03-21,85.0,84.0,2,Unhealthy,True
481,2013,3,21,0,94.0,103.0,19.0,52.0,1000.0,36.0,1.9,1011.3,-2.6,0.0,12,2.3,Guanyuan,2013-03-21 00:00:00,53.25,2,0.0,1.0,3,0,98.0,16.0,54.0,1000.0,38.0,2.2,1011.8,-2.9,0.0,1.9,80.0,14.0,50.0,800.0,44.0,2.8,1013.6,-2.5,0.0,2.2,67.0,3.0,37.0,600.0,28.0,-0.3,1017.4,-0.6,1.0,0.0,False,2013-03-21,89.0,76.0,2,Unhealthy,True
490,2013,3,21,9,73.0,99.0,28.0,68.0,1300.0,9.0,3.6,1007.0,-3.5,0.0,1,0.8,Nongzhanguan,2013-03-21 09:00:00,65.79166666666667,1,0.7071067811865476,-0.7071067811865475,3,0,88.0,18.0,66.0,1100.0,6.0,2.5,1007.8,-4.3,0.0,0.6,71.0,11.0,62.0,900.0,7.0,-0.3,1009.5,-3.7,0.0,0.9,49.0,12.0,52.0,1200.0,22.0,1.9,1022.7,-2.8,0.0,2.7,False,2013-03-21,72.0,74.0,2,Unhealthy,True
491,2013,3,21,10,108.0,118.0,34.0,70.0,1300.0,14.0,4.9,1005.9,-3.4,0.0,10,1.3,Nongzhanguan,2013-03-21 10:00:00,67.66666666666667,2,0.49999999999999994,-0.8660254037844387,3,0,99.0,28.0,68.0,1300.0,9.0,3.6,1007.0,-3.5,0.0,0.8,82.0,12.0,66.0,1000.0,4.0,0.9,1008.9,-4.5,0.0,1.1,15.0,17.0,49.0,1300.0,29.0,3.3,1022.2,-8.1,0.0,2.8,False,2013-03-21,73.0,72.0,2,Unhealthy,True
482,2013,3,21,1,92.0,106.0,23.0,43.0,1100.0,38.0,1.7,1010.6,-2.8,0.0,12,2.4,Guanyuan,2013-03-21 01:00:00,54.416666666666664,2,0.25881904510252074,0.9659258262890683,3,0,103.0,19.0,52.0,1000.0,36.0,1.9,1011.3,-2.6,0.0,2.3,90.0,15.0,53.0,900.0,40.0,2.8,1012.7,-2.7,0.0,2.2,43.0,3.0,38.0,800.0,25.0,-1.2,1018.1,-1.5,1.6,1.2,False,2013-03-21,94.0,89.0,2,Unhealthy,True
481,2013,3,21,0,88.0,68.0,3.0,31.0,800.0,30.0,0.8,1008.1,-3.0,0.0,2,1.0,Dingling,2013-03-21 00:00:00,34.041666666666664,2,0.0,1.0,3,0,61.0,3.0,30.0,800.0,31.0,0.4,1008.7,-2.8,0.0,0.6,55.0,3.0,26.0,700.0,36.0,1.1,1010.2,-2.5,0.0,1.0,6.0,3.0,21.0,500.0,56.0,-0.6,1014.4,-1.3,1.8,1.1,False,2013-03-21,82.0,73.0,2,Unhealthy,True
483,2013,3,21,2,97.0,102.0,26.0,41.0,1000.0,36.0,1.0,1009.6,-2.8,0.0,14,1.0,Guanyuan,2013-03-21 02:00:00,56.166666666666664,2,0.49999999999999994,0.8660254037844387,3,0,106.0,23.0,43.0,1100.0,38.0,1.7,1010.6,-2.8,0.0,2.4,98.0,16.0,54.0,1000.0,38.0,2.2,1011.8,-2.9,0.0,1.9,45.0,4.0,35.0,900.0,26.0,-1.2,1018.5,-1.3,0.9,0.0,False,2013-03-21,92.0,94.0,2,Unhealthy,True
491,2013,3,21,10,133.0,142.0,34.0,73.0,2000.0,20.0,3.7,1004.5,-1.9,0.0,6,1.7,Guanyuan,2013-03-21 10:00:00,76.70833333333333,2,0.49999999999999994,-0.8660254037844387,3,0,124.0,22.0,65.0,1899.0,17.0,2.7,1005.3,-2.2,0.0,1.6,86.0,26.0,57.0,1100.0,15.0,0.2,1006.9,-2.0,0.0,0.7,37.0,31.0,37.0,1200.0,40.0,2.6,1020.4,-4.0,0.0,3.0,False,2013-03-21,122.0,106.0,2,Unhealthy,True
490,2013,3,21,9,122.0,124.0,22.0,65.0,1899.0,17.0,2.7,1005.3,-2.2,0.0,3,1.6,Guanyuan,2013-03-21 09:00:00,73.54166666666667,2,0.7071067811865476,-0.7071067811865475,3,0,119.0,20.0,62.0,1600.0,16.0,1.4,1005.9,-1.8,0.0,1.6,90.0,32.0,50.0,900.0,21.0,-0.6,1007.6,-2.2,0.0,1.5,32.0,20.0,45.0,1300.0,25.0,1.9,1021.0,-2.1,0.0,2.3,False,2013-03-21,106.0,84.0,2,Unhealthy,True
489,2013,3,21,8,106.0,119.0,20.0,62.0,1600.0,16.0,1.4,1005.9,-1.8,0.0,5,1.6,Guanyuan,2013-03-21 08:00:00,69.75,2,0.8660254037844387,-0.4999999999999998,3,0,86.0,26.0,57.0,1100.0,15.0,0.2,1006.9,-2.0,0.0,0.7,81.0,32.0,37.0,800.0,34.0,-1.7,1008.0,-2.7,0.0,0.1,38.0,9.0,48.0,1100.0,18.0,-0.1,1020.7,-1.1,0.0,1.7,False,2013-03-21,84.0,84.0,2,Unhealthy,True
488,2013,3,21,7,84.0,86.0,26.0,57.0,1100.0,15.0,0.2,1006.9,-2.0,0.0,3,0.7,Guanyuan,2013-03-21 07:00:00,66.79166666666667,2,0.9659258262890683,-0.25881904510252063,3,0,90.0,32.0,50.0,900.0,21.0,-0.6,1007.6,-2.2,0.0,1.5,85.0,36.0,36.0,800.0,37.0,-1.7,1008.5,-3.0,0.0,0.7,6.0,6.0,48.0,1100.0,13.0,-2.3,1020.2,-2.3,0.0,0.1,False,2013-03-21,84.0,78.0,2,Unhealthy,True
487,2013,3,21,6,84.0,90.0,32.0,50.0,900.0,21.0,-0.6,1007.6,-2.2,0.0,1,1.5,Guanyuan,2013-03-21 06:00:00,64.79166666666667,2,1.0,6.123233995736766e-17,3,0,81.0,32.0,37.0,800.0,34.0,-1.7,1008.0,-2.7,0.0,0.1,103.0,35.0,36.0,900.0,37.0,-0.8,1008.9,-2.7,0.0,0.5,9.0,6.0,26.0,800.0,34.0,-5.7,1019.6,-6.0,0.0,0.0,False,2013-03-21,78.0,96.0,2,Unhealthy,True
486,2013,3,21,5,78.0,81.0,32.0,37.0,800.0,34.0,-1.7,1008.0,-2.7,0.0,2,0.1,Guanyuan,2013-03-21 05:00:00,62.333333333333336,2,0.9659258262890683,0.25881904510252074,3,0,85.0,36.0,36.0,800.0,37.0,-1.7,1008.5,-3.0,0.0,0.7,102.0,26.0,41.0,1000.0,36.0,1.0,1009.6,-2.8,0.0,1.0,35.0,8.0,29.0,1000.0,32.0,-4.3,1019.4,-4.7,0.0,1.2,False,2013-03-21,96.0,110.0,2,Unhealthy,True
485,2013,3,21,4,96.0,85.0,36.0,36.0,800.0,37.0,-1.7,1008.5,-3.0,0.0,14,0.7,Guanyuan,2013-03-21 04:00:00,60.666666666666664,2,0.8660254037844386,0.5000000000000001,3,0,103.0,35.0,36.0,900.0,37.0,-0.8,1008.9,-2.7,0.0,0.5,106.0,23.0,43.0,1100.0,38.0,1.7,1010.6,-2.8,0.0,2.4,31.0,7.0,29.0,900.0,25.0,-2.1,1019.0,-2.4,2.5,1.6,False,2013-03-21,110.0,97.0,2,Unhealthy,True
484,2013,3,21,3,110.0,103.0,35.0,36.0,900.0,37.0,-0.8,1008.9,-2.7,0.0,7,0.5,Guanyuan,2013-03-21 03:00:00,58.708333333333336,2,0.7071067811865476,0.7071067811865476,3,0,102.0,26.0,41.0,1000.0,36.0,1.0,1009.6,-2.8,0.0,1.0,103.0,19.0,52.0,1000.0,36.0,1.9,1011.3,-2.6,0.0,2.3,38.0,6.0,29.0,900.0,30.0,-1.1,1018.7,-1.2,1.5,1.2,False,2013-03-21,97.0,92.0,2,Unhealthy,True
482,2013,3,21,1,95.0,80.0,3.0,48.0,1000.0,31.0,1.4,1013.5,-3.7,0.0,10,2.5,Shunyi,2013-03-21 01:00:00,41.166666666666664,2,0.25881904510252074,0.9659258262890683,3,0,91.0,3.0,61.0,1100.0,24.0,1.8,1014.4,-3.7,0.0,2.6,90.0,3.0,76.0,1100.0,10.0,1.9,1015.7,-3.4,0.0,1.8,32.0,3.0,32.0,1000.0,26.0,-1.6,1020.9,-2.2,1.3,1.7,False,2013-03-21,104.0,89.0,2,Unhealthy,True
481,2013,3,21,0,104.0,91.0,3.0,61.0,1100.0,24.0,1.8,1014.4,-3.7,0.0,10,2.6,Shunyi,2013-03-21 00:00:00,39.333333333333336,2,0.0,1.0,3,0,90.0,3.0,76.0,1200.0,11.0,1.8,1014.7,-3.5,0.0,2.0,87.0,3.0,71.0,1100.0,18.0,2.5,1016.4,-3.4,0.0,2.5,22.0,3.0,38.0,1000.0,24.0,-0.9,1020.2,-1.5,2.1,1.6,True,2013-03-21,89.0,83.0,2,Unhealthy,True
484,2013,3,21,3,93.0,108.0,8.0,61.0,1200.0,12.0,1.2,1005.7,-3.3,0.0,2,1.3,Changping,2013-03-21 03:00:00,44.708333333333336,2,0.7071067811865476,0.7071067811865476,3,0,105.0,7.0,61.0,1200.0,15.0,1.0,1006.7,-3.1,0.0,0.7,99.0,5.0,67.0,1200.0,8.0,0.8,1008.1,-3.0,0.0,1.0,6.0,3.0,3.0,300.0,79.0,-1.6,1015.7,-2.3,2.8,0.4,False,2013-03-21,94.0,90.0,2,Unhealthy,True
483,2013,3,21,2,94.0,105.0,7.0,61.0,1200.0,15.0,1.0,1006.7,-3.1,0.0,2,0.7,Changping,2013-03-21 02:00:00,41.083333333333336,2,0.49999999999999994,0.8660254037844387,3,0,105.0,6.0,58.0,1100.0,14.0,1.0,1007.6,-3.1,0.0,1.2,97.0,4.0,68.0,1300.0,7.0,0.4,1008.7,-2.8,0.0,0.6,14.0,3.0,13.0,600.0,58.0,-1.5,1015.4,-2.2,1.0,1.1,False,2013-03-21,90.0,89.0,2,Unhealthy,True
482,2013,3,21,1,90.0,105.0,6.0,58.0,1100.0,14.0,1.0,1007.6,-3.1,0.0,0,1.2,Changping,2013-03-21 01:00:00,38.291666666666664,2,0.25881904510252074,0.9659258262890683,3,0,99.0,5.0,67.0,1200.0,8.0,0.8,1008.1,-3.0,0.0,1.0,91.0,4.0,60.0,1200.0,15.0,0.5,1009.6,-2.7,0.0,0.6,11.0,3.0,20.0,800.0,45.0,-1.0,1015.3,-1.7,5.7,2.5,False,2013-03-21,89.0,82.0,2,Unhealthy,True
497,2013,3,21,16,120.0,201.0,48.0,107.0,1500.0,31.0,7.7,999.8,-0.8,0.0,3,1.7,Wanliu,2013-03-21 16:00:00,97.29166666666667,2,-0.8660254037844385,-0.5000000000000004,3,0,200.0,55.0,94.0,1399.0,40.0,7.7,1000.0,-0.8,0.0,1.4,167.0,62.0,86.0,1300.0,30.0,6.9,1001.3,-1.3,0.0,3.0,52.0,27.0,61.0,700.0,54.0,5.4,1015.1,-3.2,0.0,4.0,False,2013-03-21,3.0,145.0,2,Unhealthy,True
481,2013,3,21,0,92.0,111.0,18.0,77.0,1000.0,15.0,1.9,1011.3,-2.6,0.0,12,2.3,Wanliu,2013-03-21 00:00:00,54.5,2,0.0,1.0,3,0,114.0,17.0,86.0,1000.0,10.0,2.2,1011.8,-2.9,0.0,1.9,94.0,16.0,80.0,1000.0,18.0,2.8,1013.6,-2.5,0.0,2.2,64.0,7.0,51.0,800.0,14.0,-0.3,1017.4,-0.6,1.0,0.0,False,2013-03-21,89.0,80.0,2,Unhealthy,True
495,2013,3,21,14,142.0,137.0,17.0,38.0,1000.0,73.0,6.4,997.1,-1.8,0.0,12,2.1,Dingling,2013-03-21 14:00:00,92.04166666666667,2,-0.4999999999999997,-0.8660254037844388,3,0,120.0,15.0,26.0,900.0,72.0,6.0,998.1,-2.1,0.0,1.3,124.0,15.0,37.0,1000.0,38.0,4.4,1000.2,-2.5,0.0,1.1,6.0,8.0,13.0,300.0,85.0,5.7,1013.0,-7.2,0.0,2.3,False,2013-03-21,130.0,145.0,2,Unhealthy,True
494,2013,3,21,13,130.0,120.0,15.0,26.0,900.0,72.0,6.0,998.1,-2.1,0.0,12,1.3,Dingling,2013-03-21 13:00:00,86.875,2,-0.2588190451025208,-0.9659258262890683,3,0,125.0,17.0,33.0,1000.0,51.0,5.2,999.0,-2.9,0.0,1.2,109.0,15.0,40.0,1000.0,29.0,2.7,1001.3,-2.8,0.0,1.1,6.0,10.0,16.0,400.0,78.0,6.5,1013.8,-8.6,0.0,2.7,False,2013-03-21,145.0,141.0,2,Unhealthy,True
493,2013,3,21,12,145.0,125.0,17.0,33.0,1000.0,51.0,5.2,999.0,-2.9,0.0,6,1.2,Dingling,2013-03-21 12:00:00,82.125,2,1.2246467991473532e-16,-1.0,3,0,124.0,15.0,37.0,1000.0,38.0,4.4,1000.2,-2.5,0.0,1.1,115.0,13.0,54.0,1100.0,15.0,2.1,1002.3,-3.4,0.0,0.5,6.0,15.0,21.0,400.0,72.0,6.1,1015.1,-9.4,0.0,1.7,False,2013-03-21,141.0,117.0,2,Unhealthy,True
492,2013,3,21,11,141.0,124.0,15.0,37.0,1000.0,38.0,4.4,1000.2,-2.5,0.0,12,1.1,Dingling,2013-03-21 11:00:00,77.0,2,0.258819045102521,-0.9659258262890682,3,0,109.0,15.0,40.0,1000.0,29.0,2.7,1001.3,-2.8,0.0,1.1,96.0,10.0,47.0,900.0,18.0,1.5,1003.0,-3.4,0.0,1.1,6.0,15.0,15.0,400.0,71.0,3.0,1016.0,-7.0,0.0,2.7,False,2013-03-21,117.0,121.0,2,Unhealthy,True
491,2013,3,21,10,117.0,109.0,15.0,40.0,1000.0,29.0,2.7,1001.3,-2.8,0.0,7,1.1,Dingling,2013-03-21 10:00:00,72.04166666666667,2,0.49999999999999994,-0.8660254037844387,3,0,115.0,13.0,54.0,1100.0,15.0,2.1,1002.3,-3.4,0.0,0.5,98.0,9.0,45.0,900.0,21.0,0.5,1004.0,-4.3,0.0,0.9,16.0,8.0,19.0,400.0,61.0,4.4,1016.9,-5.4,0.0,1.4,False,2013-03-21,121.0,107.0,2,Unhealthy,True
490,2013,3,21,9,121.0,115.0,13.0,54.0,1100.0,15.0,2.1,1002.3,-3.4,0.0,14,0.5,Dingling,2013-03-21 09:00:00,67.91666666666667,2,0.7071067811865476,-0.7071067811865475,3,0,96.0,10.0,47.0,900.0,18.0,1.5,1003.0,-3.4,0.0,1.1,103.0,8.0,45.0,900.0,22.0,0.4,1004.3,-3.9,0.0,0.7,19.0,4.0,10.0,400.0,61.0,2.5,1017.7,-7.7,0.0,0.8,False,2013-03-21,107.0,106.0,2,Unhealthy,True
489,2013,3,21,8,107.0,96.0,10.0,47.0,900.0,18.0,1.5,1003.0,-3.4,0.0,7,1.1,Dingling,2013-03-21 08:00:00,63.583333333333336,2,0.8660254037844387,-0.4999999999999998,3,0,98.0,9.0,45.0,900.0,21.0,0.5,1004.0,-4.3,0.0,0.9,94.0,8.0,50.0,1000.0,21.0,0.5,1004.8,-3.6,0.0,0.5,7.0,3.0,21.0,300.0,49.0,-0.6,1017.5,-5.0,0.0,0.6,False,2013-03-21,106.0,108.0,2,Unhealthy,True
488,2013,3,21,7,106.0,98.0,9.0,45.0,900.0,21.0,0.5,1004.0,-4.3,0.0,2,0.9,Dingling,2013-03-21 07:00:00,59.458333333333336,2,0.9659258262890683,-0.25881904510252063,3,0,103.0,8.0,45.0,900.0,22.0,0.4,1004.3,-3.9,0.0,0.7,82.0,7.0,52.0,1000.0,19.0,0.9,1005.4,-3.6,0.0,0.9,6.0,3.0,10.0,300.0,61.0,-3.8,1016.8,-6.1,0.0,1.1,False,2013-03-21,108.0,115.0,2,Unhealthy,True
484,2013,3,21,3,85.0,60.0,16.0,46.0,700.0,28.0,0.8,1011.1,-4.2,0.0,10,1.1,Nongzhanguan,2013-03-21 03:00:00,55.666666666666664,2,0.7071067811865476,0.7071067811865476,3,0,80.0,21.0,40.0,700.0,38.0,1.6,1012.1,-4.5,0.0,1.7,89.0,25.0,59.0,900.0,32.0,2.4,1013.8,-4.1,0.0,2.2,24.0,6.0,37.0,900.0,24.0,-2.2,1021.2,-2.8,0.7,1.4,False,2013-03-21,84.0,77.0,2,Unhealthy,True
483,2013,3,21,2,84.0,80.0,21.0,40.0,700.0,38.0,1.6,1012.1,-4.5,0.0,11,1.7,Nongzhanguan,2013-03-21 02:00:00,54.041666666666664,2,0.49999999999999994,0.8660254037844387,3,0,80.0,26.0,40.0,800.0,44.0,2.0,1013.1,-4.3,0.0,2.3,89.0,21.0,71.0,1000.0,25.0,2.7,1014.2,-4.1,0.0,1.4,24.0,6.0,30.0,1000.0,33.0,-1.2,1020.5,-1.8,0.7,0.9,False,2013-03-21,77.0,101.0,2,Unhealthy,True
482,2013,3,21,1,77.0,80.0,26.0,40.0,800.0,44.0,2.0,1013.1,-4.3,0.0,11,2.3,Nongzhanguan,2013-03-21 01:00:00,52.5,2,0.25881904510252074,0.9659258262890683,3,0,89.0,25.0,59.0,900.0,32.0,2.4,1013.8,-4.1,0.0,2.2,80.0,19.0,72.0,1000.0,26.0,2.7,1015.2,-4.1,0.0,1.5,33.0,4.0,32.0,700.0,31.0,-1.0,1020.3,-1.6,1.6,1.1,False,2013-03-21,101.0,81.0,2,Unhealthy,True
481,2013,3,21,0,101.0,89.0,25.0,59.0,900.0,32.0,2.4,1013.8,-4.1,0.0,8,2.2,Nongzhanguan,2013-03-21 00:00:00,51.375,2,0.0,1.0,3,0,89.0,21.0,71.0,1000.0,25.0,2.7,1014.2,-4.1,0.0,1.4,75.0,17.0,64.0,900.0,35.0,2.9,1016.0,-4.1,0.0,1.7,49.0,3.0,36.0,700.0,27.0,-0.8,1019.7,-1.5,1.3,1.2,False,2013-03-21,81.0,75.0,2,Unhealthy,True
487,2013,3,21,6,108.0,103.0,8.0,45.0,900.0,22.0,0.4,1004.3,-3.9,0.0,9,0.7,Dingling,2013-03-21 06:00:00,55.5,2,1.0,6.123233995736766e-17,3,0,94.0,8.0,50.0,1000.0,21.0,0.5,1004.8,-3.6,0.0,0.5,77.0,3.0,40.0,900.0,16.0,1.2,1005.7,-3.3,0.0,1.3,6.0,3.0,9.0,300.0,62.0,-4.8,1016.8,-5.8,0.0,0.0,False,2013-03-21,115.0,112.0,2,Unhealthy,True
486,2013,3,21,5,115.0,94.0,8.0,50.0,1000.0,21.0,0.5,1004.8,-3.6,0.0,1,0.5,Dingling,2013-03-21 05:00:00,51.416666666666664,2,0.9659258262890683,0.25881904510252074,3,0,82.0,7.0,52.0,1000.0,19.0,0.9,1005.4,-3.6,0.0,0.9,77.0,3.0,31.0,800.0,19.0,1.0,1006.7,-3.1,0.0,0.7,6.0,3.0,15.0,400.0,63.0,-4.1,1016.3,-4.9,0.0,0.2,False,2013-03-21,112.0,100.0,2,Unhealthy,True
485,2013,3,21,4,112.0,82.0,7.0,52.0,1000.0,19.0,0.9,1005.4,-3.6,0.0,2,0.9,Dingling,2013-03-21 04:00:00,47.208333333333336,2,0.8660254037844386,0.5000000000000001,3,0,77.0,3.0,40.0,900.0,16.0,1.2,1005.7,-3.3,0.0,1.3,70.0,3.0,32.0,800.0,26.0,1.0,1007.6,-3.1,0.0,1.2,6.0,3.0,9.0,300.0,73.0,-2.9,1016.1,-3.7,0.7,0.0,False,2013-03-21,100.0,94.0,2,Unhealthy,True
484,2013,3,21,3,100.0,77.0,3.0,40.0,900.0,16.0,1.2,1005.7,-3.3,0.0,2,1.3,Dingling,2013-03-21 03:00:00,43.125,2,0.7071067811865476,0.7071067811865476,3,0,77.0,3.0,31.0,800.0,19.0,1.0,1006.7,-3.1,0.0,0.7,68.0,3.0,31.0,800.0,30.0,0.8,1008.1,-3.0,0.0,1.0,6.0,3.0,9.0,300.0,72.0,-1.6,1015.7,-2.3,2.8,0.4,False,2013-03-21,94.0,90.0,2,Unhealthy,True
483,2013,3,21,2,94.0,77.0,3.0,31.0,800.0,19.0,1.0,1006.7,-3.1,0.0,2,0.7,Dingling,2013-03-21 02:00:00,39.541666666666664,2,0.49999999999999994,0.8660254037844387,3,0,70.0,3.0,32.0,800.0,26.0,1.0,1007.6,-3.1,0.0,1.2,61.0,3.0,30.0,800.0,31.0,0.4,1008.7,-2.8,0.0,0.6,37.0,3.0,21.0,700.0,52.0,-1.5,1015.4,-2.2,1.0,1.1,False,2013-03-21,90.0,88.0,2,Unhealthy,True
487,2013,3,21,6,97.0,104.0,3.0,62.0,1800.0,4.0,-0.1,1010.1,-3.8,0.0,10,1.1,Shunyi,2013-03-21 06:00:00,54.791666666666664,2,1.0,6.123233995736766e-17,3,0,101.0,3.0,,1000.0,5.0,-0.3,1010.6,-4.0,0.0,1.1,76.0,3.0,4.0,,,0.5,1011.7,-4.2,0.0,1.4,6.0,3.0,63.0,700.0,7.0,-3.9,1022.4,-4.3,0.0,0.0,False,2013-03-21,89.0,74.0,2,Unhealthy,True
482,2013,3,21,1,125.0,130.0,17.0,80.0,1100.0,8.0,1.7,1010.6,-2.8,0.0,12,2.4,Wanliu,2013-03-21 01:00:00,57.791666666666664,2,0.25881904510252074,0.9659258262890683,3,0,111.0,18.0,77.0,1000.0,15.0,1.9,1011.3,-2.6,0.0,2.3,104.0,16.0,85.0,1000.0,10.0,2.8,1012.7,-2.7,0.0,2.2,50.0,5.0,53.0,900.0,8.0,-1.2,1018.1,-1.5,1.6,1.2,False,2013-03-21,92.0,89.0,2,Unhealthy,True
490,2013,3,21,9,100.0,120.0,30.0,80.0,1600.0,2.0,2.7,1005.3,-2.2,0.0,3,1.6,Wanliu,2013-03-21 09:00:00,77.08333333333333,2,0.7071067811865476,-0.7071067811865475,3,0,117.0,19.0,79.0,1600.0,2.0,1.4,1005.9,-1.8,0.0,1.6,120.0,18.0,74.0,1100.0,2.0,-0.6,1007.6,-2.2,0.0,1.5,47.0,16.0,68.0,1100.0,14.0,1.9,1021.0,-2.1,0.0,2.3,False,2013-03-21,94.0,99.0,2,Unhealthy,True
495,2013,3,21,14,145.0,172.0,58.0,94.0,1399.0,34.0,7.5,1000.4,-1.2,0.0,6,1.4,Wanliu,2013-03-21 14:00:00,95.08333333333333,2,-0.4999999999999997,-0.8660254037844388,3,0,167.0,62.0,86.0,1300.0,30.0,6.9,1001.3,-1.3,0.0,3.0,154.0,45.0,,1500.0,9.0,5.0,1003.0,-1.9,0.0,2.4,22.0,28.0,52.0,800.0,58.0,5.4,1016.6,-3.4,0.0,3.8,False,2013-03-21,140.0,167.0,2,Unhealthy,True
